Set,Price_Euro,Minifigs,Pieces
"Ariel, Aurora, and Tiana's Royal Celebration",44.99,3.0,282.0
Rapunzel's Small Tower,9.99,1.0,44.0
Enchanted Treehouse,48.73,3.0,302.0
Anna's Canoe Expedition,19.99,2.0,108.0
Elsa and the Reindeer Carriage,29.99,1.0,116.0
Arendelle Castle Village,79.99,3.0,521.0
Elsa's Jewellery Box Creation,39.99,1.0,300.0
Olaf,14.61,,122.0
Underwater Loop,29.23,2.0,389.0
Andrea's Heart Box,7.99,1.0,84.0
Emma's Heart Box,7.99,1.0,85.0
Stephanie's Heart Box,7.99,1.0,85.0
Olivia's Heart Box,7.99,2.0,85.0
Mia's Heart Box,7.99,1.0,83.0
Heart Box Friendship Pack,19.99,2.0,199.0
Emma's Mobile Veterinary Clinic ,9.74,1.0,50.0
Mia's Foal Stable ,19.49,1.0,118.0
Heartlake City Supermarket,29.23,2.0,140.0
Mia's Forest Adventure,14.99,1.0,134.0
Stephanie's Buggy & Trailer ,19.99,1.0,166.0
Emma's Art Studio,24.99,2.0,235.0
Olivia's Cupcake Cafe,29.23,2.0,335.0
Stephanie's Horse Jumping,38.98,2.0,337.0
Andrea's Talent Show,49.99,2.0,492.0
Mia's House,68.23,3.0,715.0
Mia's Horse Trailer,29.23,2.0,216.0
Stephanie's Gymnastics Show,29.23,2.0,241.0
Funny Octopus Ride,38.98,2.0,324.0
Andrea's Pool Party,48.73,2.0,468.0
Heartlake City Amusement Pier,126.71,7.0,1251.0
Turtles Rescue Mission,19.49,2.0,225.0
Dolphins Rescue Mission,38.98,2.0,363.0
Heartlake City Restaurant,58.48,3.0,624.0
Lighthouse Rescue Centre,58.48,2.0,602.0
Rescue Mission Boat,87.72,4.0,908.0
LEGO Friends Advent Calendar,24.99,3.0,330.0
Olivia's Hamster Playground,9.74,1.0,81.0
Andrea's Summer Heart Box,7.99,1.0,83.0
Emma's Summer Heart Box,7.99,1.0,86.0
Stephanie's Summer Heart Box,7.99,1.0,95.0
